ID_HECHOS_LESIONES,N_VICTIMAS,AAAA,FECHA,HORA,comuna,tipo_calle,geocodificacion_CABA,longitud,latutid,victima,acusado,participantes,gravedad
LC-2019-0025021,1,2019,2019-01-13 00:00:00,2.0,,,Point (108629.964506752 101606.761130562),,,,,SD-SD,GRAVE
LC-2019-0049592,1,2019,2019-01-23 00:00:00,18.0,,,Point (101826.896937008 104708.368665252),,,,,SD-SD,GRAVE
LC-2019-0069433,1,2019,2019-02-02 00:00:00,3.0,,,Point (96943.4255297621 108226.025173517),,,,,SD-SD,GRAVE
LC-2019-0765111,1,2019,2019-03-12 00:00:00,14.0,,,Point (100334.393892395 102658.687760018),,,,,SD-SD,GRAVE
LC-2019-0154921,1,2019,2019-03-13 00:00:00,15.0,,,Point (105078.606313626 104258.624819074),,,,,SD-SD,GRAVE
LC-2019-0159323,1,2019,2019-03-15 00:00:00,2.0,,,Point (106585.173141294 100722.91756007),,,,,SD-SD,GRAVE
LC-2019-0159738,1,2019,2019-03-15 00:00:00,9.0,,,Point (98438.8380914996 109709.828420251),,,,,SD-SD,GRAVE
LC-2019-0163681,1,2019,2019-03-17 00:00:00,9.0,,,Point (101850.61668 104828.369818),,,,,SD-SD,GRAVE
LC-2019-0186800,1,2019,2019-03-25 00:00:00,12.0,,,Point (108920.473725 100086.160513),,,,,SD-SD,GRAVE
LC-2019-0203562,1,2019,2019-04-01 00:00:00,23.0,,,Point (99932.268761 106819.242245),,,,,SD-SD,GRAVE
LC-2019-0210339,1,2019,2019-04-04 00:00:00,19.0,,,,,,,,SD-SD,GRAVE
LC-2019-0277335,1,2019,2019-04-05 00:00:00,6.0,,,Point (106566.405299211 101230.398054136),,,,,SD-SD,GRAVE
LC-2019-0212362,1,2019,2019-04-05 00:00:00,13.0,,,,,,,,SD-SD,GRAVE
LC-2019-0554682,1,2019,2019-04-09 00:00:00,15.0,,,Point (103802.650045843 96740.3200587061),,,,,SD-SD,GRAVE
LC-2019-0767310,1,2019,2019-04-12 00:00:00,11.0,,,Point (96739.7390208205 101629.103922355),,,,,SD-SD,GRAVE
LC-2019-0264686,1,2019,2019-04-28 00:00:00,17.0,,,Point (97283.9232633065 103571.945679559),,,,,SD-SD,GRAVE
LC-2019-0265076,1,2019,2019-04-29 00:00:00,14.0,,,Point (100209.32320217 100981.467455857),,,,,SD-SD,GRAVE
LC-2019-0211151,1,2019,2019-05-04 00:00:00,9.0,,,Point (103515.239589465 106068.933643312),,,,,SD-SD,GRAVE
LC-2019-0695075,1,2019,2019-05-11 00:00:00,6.0,,,Point (100531.51268586 107563.881866533),,,,,SD-SD,GRAVE
LC-2019-0771748,1,2019,2019-05-12 00:00:00,15.0,,,Point (107840.938784212 102332.950799733),,,,,SD-SD,GRAVE
LC-2019-0772097,1,2019,2019-05-12 00:00:00,19.0,,,Point (106110.878590585 97539.5037375864),,,,,SD-SD,GRAVE
LC-2019-0311702,1,2019,2019-05-18 00:00:00,18.0,,,Point (97098.4845874882 109019.961155775),,,,,SD-SD,GRAVE
LC-2019-0326188,1,2019,2019-05-23 00:00:00,23.0,,,Point (109805.284409 99107.7288703),,,,,SD-SD,GRAVE
LC-2019-0213677,1,2019,2019-06-04 00:00:00,23.0,,,Point (100442.591921542 102748.780099399),,,,,SD-SD,GRAVE
LC-2019-0354833,1,2019,2019-06-06 00:00:00,20.0,,,Point (97912.6638710736 98077.8559940046),,,,,SD-SD,GRAVE
LC-2019-0356621,1,2019,2019-06-07 00:00:00,11.0,,,,,,,,SD-SD,GRAVE
LC-2019-0035901,1,2019,2019-06-08 00:00:00,19.0,,,Point (94732.584388223 97205.8960411717),,,,,SD-SD,GRAVE
LC-2019-0698117,1,2019,2019-06-11 00:00:00,8.0,,,Point (97098.4845874882 109019.961155775),,,,,SD-SD,GRAVE
LC-2019-0562086,1,2019,2019-07-09 00:00:00,20.0,,,Point (105904.068268888 104807.63284135),,,,,SD-SD,GRAVE
LC-2019-0426714,1,2019,2019-07-11 00:00:00,5.0,,,Point (96459.8399426 99737.046273),,,,,SD-SD,GRAVE
LC-2019-0047133,1,2019,2019-07-31 00:00:00,19.0,,,Point (102223.282227429 101478.7649701),,,,,SD-SD,GRAVE
LC-2019-0642723,1,2019,2019-08-09 00:00:00,4.0,,,Point (105980.99128826 105385.932619459),,,,,SD-SD,GRAVE
LC-2019-0704458,3,2019,2019-08-11 00:00:00,10.0,,,Point (95824.5994488 106623.556087),,,,,SD-SD,GRAVE
LC-2019-0513058,1,2019,2019-08-17 00:00:00,7.0,,,Point (101769.392811 103865.776465),,,,,SD-SD,GRAVE
LC-2019-0288435,1,2019,2019-09-05 00:00:00,1.0,,,Point (95377.5937563915 105484.328286004),,,,,SD-SD,GRAVE
LC-2019-0604288,1,2019,2019-09-26 00:00:00,11.0,,,Point (100666.574635047 100127.083421052),,,,,SD-SD,GRAVE
LC-2019-0782622,1,2019,2019-10-12 00:00:00,13.0,,,Point (102972.997323 105993.435392),,,,,SD-SD,GRAVE
LC-2019-0667172,1,2019,2019-10-24 00:00:00,14.0,,,Point (99732.4077095789 99348.806561017),,,,,SD-SD,GRAVE
LC-2019-0674236,1,2019,2019-10-25 00:00:00,0.0,,,Point (102872.846738309 97847.0704854482),,,,,SD-SD,GRAVE
LC-2019-0672799,1,2019,2019-10-27 00:00:00,2.0,,,Point (103149.720353417 102690.719402817),,,,,SD-SD,GRAVE
LC-2019-0715682,1,2019,2019-11-13 00:00:00,12.0,,,Point (104215.148101738 102032.303260102),,,,,SD-SD,GRAVE
LC-2019-0713995,1,2019,2019-11-13 00:00:00,17.0,,,Point (103561.975793762 108063.341629288),,,,,SD-SD,GRAVE
LC-2019-0721578,1,2019,2019-11-15 00:00:00,14.0,,,Point (101631.528071287 103735.202273314),,,,,SD-SD,GRAVE
LC-2019-0724627,1,2019,2019-11-17 00:00:00,9.0,,,Point (107552.69037931 102796.297888782),,,,,SD-SD,GRAVE
LC-2019-0726385,2,2019,2019-11-18 00:00:00,15.0,,,Point (108748.148548542 102669.050097185),,,,,SD-SD,GRAVE
LC-2019-0747040,1,2019,2019-11-27 00:00:00,8.0,,,Point (108072.100579945 104049.491309358),,,,,SD-SD,GRAVE
LC-2019-0756888,1,2019,2019-11-30 00:00:00,23.0,,,Point (98989.9954241453 96435.5952275034),,,,,SD-SD,GRAVE
LC-2019-0483085,1,2019,2019-12-04 00:00:00,15.0,,,Point (104526.601652222 101064.663127931),,,,,SD-SD,GRAVE
